SubscriptionID,PreTaxCost,UsageDate,ServiceName,Currency
22db6142-5c32-4bd4-92c9-445ae5e27415,120567.684947358,20250219,Cognitive Services,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,110608.30532747,20250220,Cognitive Services,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,150122.213800457,20250221,Cognitive Services,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,175015.584220433,20250222,Cognitive Services,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,69950.5746917446,20250223,Cognitive Services,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,112172.092401965,20250224,Cognitive Services,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,157336.5719959,20250225,Cognitive Services,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,9053.33757034578,20250226,Cognitive Services,INR
