SubscriptionID,SubscriptionName,PreTaxCost,UsageDate,ServiceName
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),1249.55880162217,20250220,Virtual Network,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),810.4176,20250221,Azure App Service,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),0.0,20250221,Azure Bot Service,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),11.3995161290323,20250221,Azure DNS,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),2496.46389677419,20250221,Azure Database for MySQL,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),1165.32546633285,20250221,Azure Databricks,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),376.045841462065,20250221,Azure Kubernetes Service,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),0.0,20250221,Azure Monitor,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),59.6564516129032,20250221,Azure Synapse Analytics,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),220.878707242353,20250221,Backup,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),4095.34039220966,20250221,Bandwidth,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),150122.213800457,20250221,Cognitive Services,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),9374.9131328644,20250221,Container Registry,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),0.0,20250221,Event Grid,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),113.0832,20250221,Event Hubs,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),0.68885364,20250221,Key Vault,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,Microsoft Azure Sponsorship(Converted to EA),6454.57811474114,20250221,Load Balancer,INR
