SubscriptionID,PreTaxCost,UsageDate,ServiceName,Currency
22db6142-5c32-4bd4-92c9-445ae5e27415,810.4176,20250219,Azure App Service,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,0.0,20250219,Azure Bot Service,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,11.3995161290323,20250219,Azure DNS,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,2496.46389677419,20250219,Azure Database for MySQL,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,505.58332237,20250219,Azure Databricks,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,376.702387288771,20250219,Azure Kubernetes Service,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,0.0,20250219,Azure Monitor,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,59.6564516129032,20250219,Azure Synapse Analytics,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,220.839462942064,20250219,Backup,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,4113.95663287659,20250219,Bandwidth,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,120567.684947358,20250219,Cognitive Services,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,9352.1370994756,20250219,Container Registry,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,0.0,20250219,Event Grid,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,113.0832,20250219,Event Hubs,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,0.68814687,20250219,Key Vault,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,6340.29986451968,20250219,Load Balancer,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,107.8473881365,20250219,Log Analytics,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,709.112656,20250219,MS Bing Services,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,0.000141354,20250219,Service Bus,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,57619.3626156069,20250219,Storage,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,3693.984,20250219,VPN Gateway,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,24785.5845854205,20250219,Virtual Machines,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,1249.55880030425,20250219,Virtual Network,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,810.4176,20250220,Azure App Service,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,0.0,20250220,Azure Bot Service,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,11.3995161290323,20250220,Azure DNS,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,2496.46389677419,20250220,Azure Database for MySQL,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,18.3353509072917,20250220,Azure Databricks,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,376.797607697878,20250220,Azure Kubernetes Service,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,0.0,20250220,Azure Monitor,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,59.6564516129032,20250220,Azure Synapse Analytics,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,220.825679073767,20250220,Backup,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,4462.18330249359,20250220,Bandwidth,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,110608.30532747,20250220,Cognitive Services,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,9366.066262618,20250220,Container Registry,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,0.0,20250220,Event Grid,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,113.0832,20250220,Event Hubs,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,0.68814687,20250220,Key Vault,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,6368.09071408968,20250220,Load Balancer,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,107.83491758702,20250220,Log Analytics,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,663.173464,20250220,MS Bing Services,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,0.000141354,20250220,Service Bus,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,57981.435304839,20250220,Storage,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,3693.984,20250220,VPN Gateway,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,24665.7415979099,20250220,Virtual Machines,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,1249.55880162217,20250220,Virtual Network,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,810.4176,20250221,Azure App Service,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,0.0,20250221,Azure Bot Service,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,11.3995161290323,20250221,Azure DNS,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,2496.46389677419,20250221,Azure Database for MySQL,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,1165.32546633285,20250221,Azure Databricks,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,376.045841462065,20250221,Azure Kubernetes Service,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,0.0,20250221,Azure Monitor,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,59.6564516129032,20250221,Azure Synapse Analytics,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,220.878707242353,20250221,Backup,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,4095.34039220966,20250221,Bandwidth,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,150122.213800457,20250221,Cognitive Services,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,9374.9131328644,20250221,Container Registry,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,0.0,20250221,Event Grid,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,113.0832,20250221,Event Hubs,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,0.68885364,20250221,Key Vault,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,6454.57811474114,20250221,Load Balancer,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,108.14808469702,20250221,Log Analytics,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,696.155448,20250221,MS Bing Services,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,0.000141354,20250221,Service Bus,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,57753.5709695864,20250221,Storage,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,3693.984,20250221,VPN Gateway,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,25069.0583282874,20250221,Virtual Machines,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,1249.5588,20250221,Virtual Network,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,810.4176,20250222,Azure App Service,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,0.0,20250222,Azure Bot Service,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,11.3995161290323,20250222,Azure DNS,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,2496.46389677419,20250222,Azure Database for MySQL,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,19.9237048860417,20250222,Azure Databricks,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,377.895277443482,20250222,Azure Kubernetes Service,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,0.0,20250222,Azure Monitor,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,59.6564516129032,20250222,Azure Synapse Analytics,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,220.923908767302,20250222,Backup,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,4151.35378268059,20250222,Bandwidth,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,175015.584220433,20250222,Cognitive Services,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,9376.1207050372,20250222,Container Registry,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,0.0,20250222,Event Grid,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,113.0832,20250222,Event Hubs,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,0.68838246,20250222,Key Vault,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,6334.2075877117,20250222,Load Balancer,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,107.34714533696,20250222,Log Analytics,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,574.828864,20250222,MS Bing Services,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,0.000141354,20250222,Service Bus,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,57724.8182132635,20250222,Storage,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,3693.984,20250222,VPN Gateway,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,24509.1702088361,20250222,Virtual Machines,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,1249.55880026329,20250222,Virtual Network,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,810.4176,20250223,Azure App Service,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,0.0,20250223,Azure Bot Service,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,11.3995161290323,20250223,Azure DNS,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,2496.46389677419,20250223,Azure Database for MySQL,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,20.64612813375,20250223,Azure Databricks,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,377.140787896665,20250223,Azure Kubernetes Service,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,0.0,20250223,Azure Monitor,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,59.6564516129032,20250223,Azure Synapse Analytics,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,220.920616798618,20250223,Backup,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,3552.36527078267,20250223,Bandwidth,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,69950.5746917446,20250223,Cognitive Services,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,9374.7203701828,20250223,Container Registry,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,0.0,20250223,Event Grid,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,113.0832,20250223,Event Hubs,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,0.68814687,20250223,Key Vault,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,6305.58301572667,20250223,Load Balancer,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,107.39484004302,20250223,Log Analytics,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,601.921208,20250223,MS Bing Services,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,0.0001766925,20250223,Service Bus,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,57360.9529001443,20250223,Storage,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,3693.984,20250223,VPN Gateway,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,24502.800299456,20250223,Virtual Machines,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,1249.5588,20250223,Virtual Network,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,810.4176,20250224,Azure App Service,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,0.0,20250224,Azure Bot Service,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,11.3995161290323,20250224,Azure DNS,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,2496.46389677419,20250224,Azure Database for MySQL,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,20.8427368214583,20250224,Azure Databricks,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,376.521828185091,20250224,Azure Kubernetes Service,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,0.0,20250224,Azure Monitor,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,59.6564516129032,20250224,Azure Synapse Analytics,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,220.898219580806,20250224,Backup,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,4213.73665940106,20250224,Bandwidth,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,112172.092401965,20250224,Cognitive Services,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,9381.9432578308,20250224,Container Registry,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,0.0,20250224,Event Grid,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,113.0832,20250224,Event Hubs,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,0.68791128,20250224,Key Vault,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,6313.98275185846,20250224,Load Balancer,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,107.4756118714,20250224,Log Analytics,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,732.671216,20250224,MS Bing Services,INR
22db6142-5c32-4bd4-92c9-445ae5e27415,0.000141354,20250224,Service Bus,INR
