UsageDate,CostUSD,ResourceId,ResourceType,ResourceLocation,ResourceGroupName,ServiceName,ServiceTier,Meter,Currency
2025-02-19,INR,0.8481,20250219,/subscriptions/22db6142-5c32-4bd4-92c9-445ae5e27415/resourcegroups/asterisk/providers/microsoft.network/publicipaddresses/asterisk-test-6-ip,microsoft.network/publicipaddresses,IN Central,asterisk,Virtual Network,IP Address,Basic IPv4 Static Public IP,USD
2025-02-19,INR,0.8481,20250219,/subscriptions/22db6142-5c32-4bd4-92c9-445ae5e27415/resourcegroups/asterisk/providers/microsoft.network/publicipaddresses/asterisk-test-7-ip,microsoft.network/publicipaddresses,IN Central,asterisk,Virtual Network,IP Address,Basic IPv4 Static Public IP,USD
2025-02-19,INR,0.8481,20250219,/subscriptions/22db6142-5c32-4bd4-92c9-445ae5e27415/resourcegroups/asterisk/providers/microsoft.network/publicipaddresses/asterisk-ubuntu-1-ip,microsoft.network/publicipaddresses,IN Central,asterisk,Virtual Network,IP Address,Basic IPv4 Static Public IP,USD
2025-02-19,INR,0.8481,20250219,/subscriptions/22db6142-5c32-4bd4-92c9-445ae5e27415/resourcegroups/asterisk/providers/microsoft.network/publicipaddresses/voicetestip270,microsoft.network/publicipaddresses,IN Central,asterisk,Virtual Network,IP Address,Basic IPv4 Static Public IP,USD
2025-02-19,INR,1.17795,20250219,/subscriptions/22db6142-5c32-4bd4-92c9-445ae5e27415/resourcegroups/azure-aws-dr/providers/microsoft.network/publicipaddresses/azure-aws-pip,microsoft.network/publicipaddresses,IN Central,azure-aws-dr,Virtual Network,IP Address,Standard IPv4 Static Public IP,USD
2025-02-19,INR,0.8481,20250219,/subscriptions/22db6142-5c32-4bd4-92c9-445ae5e27415/resourcegroups/azure-aws-dr/providers/microsoft.network/publicipaddresses/vm-azure-aws-ip,microsoft.network/publicipaddresses,IN Central,azure-aws-dr,Virtual Network,IP Address,Basic IPv4 Static Public IP,USD
2025-02-19,INR,8.1491739599,20250219,/subscriptions/22db6142-5c32-4bd4-92c9-445ae5e27415/resourcegroups/azure-openai/providers/microsoft.cognitiveservices/accounts/10355-yai-australiaeast,microsoft.cognitiveservices/accounts,AU East,azure-openai,Cognitive Services,OpenAI,gpt-35-turbo-16K-0125 Input-regional Tokens,USD
2025-02-19,INR,0.150207783,20250219,/subscriptions/22db6142-5c32-4bd4-92c9-445ae5e27415/resourcegroups/azure-openai/providers/microsoft.cognitiveservices/accounts/10355-yai-australiaeast,microsoft.cognitiveservices/accounts,AU East,azure-openai,Cognitive Services,OpenAI,gpt-35-turbo-16K-0125 Output-regional Tokens,USD
2025-02-19,INR,1.253181211,20250219,/subscriptions/22db6142-5c32-4bd4-92c9-445ae5e27415/resourcegroups/azure-openai/providers/microsoft.cognitiveservices/accounts/20346-yai-northcentralus,microsoft.cognitiveservices/accounts,US North Central,azure-openai,Cognitive Services,OpenAI,gpt 4o 0513 Input regional Tokens,USD
2025-02-19,INR,0.05369023,20250219,/subscriptions/22db6142-5c32-4bd4-92c9-445ae5e27415/resourcegroups/azure-openai/providers/microsoft.cognitiveservices/accounts/20346-yai-northcentralus,microsoft.cognitiveservices/accounts,US North Central,azure-openai,Cognitive Services,OpenAI,gpt 4o 0513 Output regional Tokens,USD
2025-02-19,INR,0.54205888,20250219,/subscriptions/22db6142-5c32-4bd4-92c9-445ae5e27415/resourcegroups/azure-openai/providers/microsoft.cognitiveservices/accounts/24253-yai-northcentralus,microsoft.cognitiveservices/accounts,US North Central,azure-openai,Cognitive Services,OpenAI,gpt 4o 0806 cached Inp regnl Tokens,USD
2025-02-19,INR,24.296155718,20250219,/subscriptions/22db6142-5c32-4bd4-92c9-445ae5e27415/resourcegroups/azure-openai/providers/microsoft.cognitiveservices/accounts/24253-yai-northcentralus,microsoft.cognitiveservices/accounts,US North Central,azure-openai,Cognitive Services,OpenAI,gpt-4o-0806-Inp-regnl Tokens,USD
2025-02-19,INR,6.01673615,20250219,/subscriptions/22db6142-5c32-4bd4-92c9-445ae5e27415/resourcegroups/azure-openai/providers/microsoft.cognitiveservices/accounts/24253-yai-northcentralus,microsoft.cognitiveservices/accounts,US North Central,azure-openai,Cognitive Services,OpenAI,gpt-4o-0806-Outp-regnl Tokens,USD
2025-02-19,INR,0.308114206,20250219,/subscriptions/22db6142-5c32-4bd4-92c9-445ae5e27415/resourcegroups/azure-openai/providers/microsoft.cognitiveservices/accounts/24420-yai-northcentralus,microsoft.cognitiveservices/accounts,US North Central,azure-openai,Cognitive Services,OpenAI,gpt-4o-0806-Inp-regnl Tokens,USD
